arquivo,periodo_num,periodo,slug,titulo,autor,data_obra,licenca,credito,largura,altura,original_wxh,arquivo_commons,pagina_commons,resolvido_via,descricao
02-grecia_vitoria-de-samotracia.jpg,02,grecia,vitoria-de-samotracia,Vitória Alada de Samotrácia,Shonagon,2018-12-08,CC0,Own work,3616,4800,3616x4800,Victoire_de_Samothrace_-_Musee_du_Louvre_-_20190812.jpg,https://commons.wikimedia.org/wiki/File:Victoire_de_Samothrace_-_Musee_du_Louvre_-_20190812.jpg,wiki,Victory of Samothrace
03-roma_ara-pacis.jpg,03,roma,ara-pacis,Ara Pacis Augustae,Rabax63,2017-11-17 12:01:29,CC BY-SA 4.0,Own work,2000,1274,5417x3450,Ara_Pacis_(SW).jpg,https://commons.wikimedia.org/wiki/File:Ara_Pacis_(SW).jpg,wiki,The front of the Ara Pacis Augustae
03-roma_arco-de-constantino.jpg,03,roma,arco-de-constantino,Arco de Constantino,NikonZ7II (Paris Orlando),Taken on 23 April 2022,CC BY-SA 4.0,Own work,2000,1688,6272x5292,"Arch_of_Constantine_(Rome)_-_South_side,_from_Via_triumphalis.jpg","https://commons.wikimedia.org/wiki/File:Arch_of_Constantine_(Rome)_-_South_side,_from_Via_triumphalis.jpg",wiki,"Arch of Constantine (Rome) - South side, from Via triumphalis"
03-roma_arco-de-tito.jpg,03,roma,arco-de-tito,Arco de Tito,Jebulon,2013-08-22,CC0,Own work,3315,3076,3315x3076,"Arch_Titus,_Forum_Romanum,_Rome,_Italy.jpg","https://commons.wikimedia.org/wiki/File:Arch_Titus,_Forum_Romanum,_Rome,_Italy.jpg",wiki,"Arch of Titus, Forum Romanum, Rome, Italy."
03-roma_augusto-de-prima-porta.jpg,03,roma,augusto-de-prima-porta,Augusto de Prima Porta,Justin Benttinen,2023-09-08 08:02:05,CC BY-SA 4.0,Own work,2000,3000,5437x8156,Augustus_of_Prima_Porta.jpg,https://commons.wikimedia.org/wiki/File:Augustus_of_Prima_Porta.jpg,wiki,Augustus of Prima Porta
03-roma_casal-pompeia.jpg,03,roma,casal-pompeia,Retrato de Terêncio Neo e sua esposa (Pompeia),Unknown author Unknown author,1st century,Public domain,Unknown source Unknown source,908,998,908x998,Pompeii-couple.jpg,https://commons.wikimedia.org/wiki/File:Pompeii-couple.jpg,wiki,
03-roma_coliseu.jpg,03,roma,coliseu,Coliseu,FeaturedPics,2020-10-28 18:05:47,CC BY-SA 4.0,Own work,2000,1401,12051x8442,Colosseo_2020.jpg,https://commons.wikimedia.org/wiki/File:Colosseo_2020.jpg,wiki,Colosseo 2020
03-roma_coloso-de-constantino.jpg,03,roma,coloso-de-constantino,Cabeça do Colosso de Constantino,unknown,"4 th century BC date QS:P571,-350-00-00T00:00:00Z/7",CC BY-SA 3.0,User:Jean-Pol GRANDMONT (2011),1875,2498,1875x2498,0 Constantinus I - Palazzo dei Conservatori (2) (cropped).JPG,https://commons.wikimedia.org/wiki/File:0_Constantinus_I_-_Palazzo_dei_Conservatori_(2)_(cropped).JPG,search,"Head of the colossal statue of Constantine I, Musei Capitolini, Rome. Marble, Roman artwork, 313–324 CE."
03-roma_coluna-de-trajano.jpg,03,roma,coluna-de-trajano,Coluna de Trajano,Livioandronico2013,2015-05-30 16:34:58,CC BY-SA 4.0,Own work,2340,5456,2340x5456,Trajan's_Column_HD.jpg,https://commons.wikimedia.org/wiki/File:Trajan%27s_Column_HD.jpg,wiki,Trajan's Column
03-roma_loba-capitolina.jpg,03,roma,loba-capitolina,Loba Capitolina,,2024-09-18 13:59:17,CC0,Wilfredor,2000,1302,7489x4876,"Lupa_Capitolina,_Rome.jpg","https://commons.wikimedia.org/wiki/File:Lupa_Capitolina,_Rome.jpg",wiki,"Lupa Capitolina : she-wolf with Romulus and Remus. Bronze, 12th century AD [1] , 5th century BC (the twins are a 15th-century addition)."
